Unnamed: 0,comm_date,author,author_id,likes,comment,video_id,sentimen
0,2024-11-21T19:23:53Z,@TasyiAthasyia,UC3rBdOAdLXhagcFtEnSAmQQ,959,"Guys untuk kiting cake ada kesalahan penulisan harga yaa.. harusnya harganya 195.000 bukan 360.000

Mohon Maaf atas kesalahan penulisanyaa

🙏🏻🙏🏻",VkmQ5BgkeD0,Netral
1,2024-12-09T00:52:46Z,@ratnapuspita8741,UCJXQzmr7oaClSFRcrDQwXLw,0,MasyaAllah cantiknyaa,VkmQ5BgkeD0,Netral
2,2024-12-08T16:57:42Z,@Fetcron,UCl8TFW8xWlXyZN4yMs_Rwrg,0,Tebal nya kan jadi ensk ..biar dapat rasa ciklat nya,VkmQ5BgkeD0,Netral
3,2024-12-08T13:08:15Z,@Ibnu-g5u,UCWEiz4sys40p1B3QQxJaUWA,0,Kaaa kamu bisa bgt rating makanan kaya pinter bgt gitu ktakatnya pas gtuu semangat KA tasyiiiii lop yuuuuu ❤,VkmQ5BgkeD0,Netral
4,2024-12-08T04:41:14Z,@tegataradwipa138,UCnF9iX63k3gz5FIIvm1mnbQ,0,Batlle minuman serbuk kayak marimas jasjus dong,VkmQ5BgkeD0,Netral
5,2024-12-07T18:21:00Z,@hdhelen3172,UCDTozZlMJTNJsgy-lGET1FQ,0,Link pmblian coklatnya gk ad kak?,VkmQ5BgkeD0,Netral
6,2024-12-07T12:03:45Z,@iagrill,UC3dcko3bzQL3FHgEZSlTDDQ,0,battle mochiiiii,VkmQ5BgkeD0,Netral
7,2024-12-06T18:06:45Z,@sintawulandari7864,UCyqrMBMtnqNMdQllpjl5GLg,0,"Kak tasyi wajib review tuniang bali punya ibunya kak Maharani Kemala, ditunggu videonya kak",VkmQ5BgkeD0,Netral
8,2024-12-06T12:05:47Z,@partmovie11,UCTFchKT4LJZgxTn3PqqxRxQ,0,Ga eneg kah ka?😢,VkmQ5BgkeD0,Netral
9,2024-12-06T12:04:14Z,@oftafeibitumewu5495,UCT2IQkoT9EfCs19yz7BY7CA,0,"Dari semua food vlogger emamg paling dinanti yg review Tasyi.. DETAIL dan bisa ngasih masukan kekurangannya apa biar bs di upgrade.. 🎉🎉🎉🎉 lidahnya tuh brp kali gw blg, harus di asuransiin sih❤❤",VkmQ5BgkeD0,Netral
10,2024-12-06T11:10:01Z,@antriwirana6716,UCPC7NNCLS5gjPA9p5oVUuog,0,"Assalamualaikum, kak tasyi. Boleh saya mintak coklat dubai nya. Mau beli belom bisa karena harganya mahal banget🙏. Ngidam coklat itu, sekarang sedang hamil 6 bulan.",VkmQ5BgkeD0,Netral
11,2024-12-05T17:03:24Z,@adindafirdausyi2842,UCUsCtRcYSPzk79MD9x0T9lQ,0,BIKIN BATTLE DON BAKESHOP SM BECCA PLISSSSSS,VkmQ5BgkeD0,Netral
12,2024-12-05T16:15:58Z,@azkyramaniyasukardi,UCxf1-1jlQI7LC-bCGVALFxg,0,Yahh yang harvest gaak ada,VkmQ5BgkeD0,Netral
13,2024-12-05T15:55:04Z,@christielian8130,UCBP3vaIMV2hFxWMInD1x3Lw,0,Kata nya don bakeshop aga kemanisan ???,VkmQ5BgkeD0,Netral
14,2024-12-05T14:48:55Z,@noefizahra,UCp2w9tK1WpnI_bsIMp8-NxQ,0,Kak battle dimsum pleaseee🥹,VkmQ5BgkeD0,Netral
15,2024-12-05T14:01:56Z,@uyunkholilah9204,UCTIkfRF3gQsiTOxdWUICFsg,0,Battle nama chocolate dong,VkmQ5BgkeD0,Netral
16,2024-12-05T09:29:54Z,@aghistna,UCDXKmAY79E3FGE049fRUqCg,0,kaaa link pembelian yg chi keik dongg,VkmQ5BgkeD0,Netral
17,2024-12-05T09:20:37Z,@alinealwirais6636,UCI7EfuUju4ei6eJWdkB1q6g,0,Dari review kak Tasyi jadi tahu mana cok dub yg sesuai selera dan kantong. Tp yg paling penting kandungannya halal,VkmQ5BgkeD0,Netral
18,2024-12-05T08:23:16Z,@hid7591,UCruGuJ2dhWW7KU3s0mpGAXQ,0,Ada yg pernah coba coklat yg the harvest sm lets go gelato gakk? Review nya donggg,VkmQ5BgkeD0,Netral
19,2024-12-05T07:58:28Z,@nadiatinaputri,UCyoFCX58-Jlc4wO2qWQ7g7g,0,Nextt mie ayamm doongg,VkmQ5BgkeD0,Netral
20,2024-12-05T07:16:27Z,@hanifahsalmaramadhani9142,UCjHo-5f12nUJAxPviM3IeKg,0,"KAK PLEASE NEXTNYA AKU RECOMMEND COBAIN:
- mamamiel kitchen
- harvest cake
- becca’s",VkmQ5BgkeD0,Netral
21,2024-12-05T07:12:02Z,@nabilfajrifadliansyah5349,UC6CxEhKpIW0az19Er2QWFew,0,sudah aku duga pasti yang menang don bake shop karena don bake shop emang se enak itu,VkmQ5BgkeD0,Netral
22,2024-12-04T12:37:18Z,@cupidkid97,UCktPq1Ixtp3lvMziiv39vcQ,0,"24:06 bejir jastipnya markupnya banyak buanget wkwkwkwk pdhl sama sama jkt😅 btw ada yg bahannya kek donbakeshop baru launching, circles bakery",VkmQ5BgkeD0,Netral
23,2024-12-04T12:29:24Z,@cupidkid97,UCktPq1Ixtp3lvMziiv39vcQ,0,15:27 donbakeshop ni wkwkwk keliatan beet. Dia pake seasalt kak di dalemnya pistachio+ktaifi wkwk,VkmQ5BgkeD0,Netral
24,2024-12-04T12:18:05Z,@cupidkid97,UCktPq1Ixtp3lvMziiv39vcQ,0,8:21 dari sini keliatan jelas fix yg ini wkwk,VkmQ5BgkeD0,Netral
25,2024-12-04T12:02:45Z,@devitaparamita5429,UCcRW2Xll4-4-ZQnZQW7R2Zw,1,battle basreng mentah kak,VkmQ5BgkeD0,Netral
26,2024-12-03T15:58:29Z,@MllaWati,UCY2P6c_aZmYO8trArsf3VBA,0,Malah iklan skincare,VkmQ5BgkeD0,Netral
27,2024-12-03T14:11:23Z,@aksoaoa,UCyVskBsPhf3feR3s71Fy_8A,0,"Klau lumer memang pistachio bakalan kurang berasa lah, kan banyakan cairannya (oil), klau mau berasa pistachio ya cairan (oilnya) dibuat sedikit, tp jd kering ngga lumer",VkmQ5BgkeD0,Netral
28,2024-12-03T05:12:07Z,@KhusnulHotimah-w4h,UCTWOJWaKJcKPY7cvzfp8ZeQ,0,Beli yg by chi keik dmna ya?,VkmQ5BgkeD0,Netral
29,2024-12-02T16:25:37Z,@andarugavinchannel0303,UCDc-shF4Q4Eoz5emg-ozJbw,0,No 10 apa ee penisirin 😅,VkmQ5BgkeD0,Netral
30,2024-12-01T15:46:16Z,@turimin6886,UCLMecrXeThBNb5KMKimsOeg,0,battle nugget,VkmQ5BgkeD0,Netral
31,2024-12-01T10:37:52Z,@xxkeooo8558,UCeBaqXB0lsWxNy6rOhc3G7A,0,Konten ka tasyi ga ngebosenin,VkmQ5BgkeD0,Netral
32,2024-12-01T08:12:31Z,@akumars3780,UCgs64-gGt4pTqxu_KIFnrig,0,Kataifi sipaling kataifi,VkmQ5BgkeD0,Netral
33,2024-12-01T04:57:39Z,@mertsimsek4070,UC581P6De9vaWMpzaKT7zQDg,0,"Kak Tasyi cobain dong coklat Dubai yg merk Ülker dari Türki, itu terkenal banget di turki dan cepet banget habisnya, kata orang orang yg merk Ülker ini lebih enak dari pada yg di Dubai, moga read ya kak",VkmQ5BgkeD0,Netral
34,2024-11-30T08:59:22Z,@diviawilda837,UCuEkJEa7kIfk_z-soCO1pmQ,0,fix emng overratted bngt siii,VkmQ5BgkeD0,Netral
35,2024-11-30T08:50:02Z,@novisagita4363,UC0YeRjR_60PmZjpVegOcstg,0,Pas editan wangi sampe ilang ngakak sih wkwk,VkmQ5BgkeD0,Netral
36,2024-11-30T08:44:44Z,@dwiutarifebriana1745,UCrPqe600weiRRXT8laU4yLA,1,"Tasyiii... Battle mayonaise doooong... rekomendasi Mamayo, primayo, prima agung, prociz, kwepie, mayumi, maestro, mamasuka, dll...",VkmQ5BgkeD0,Netral
37,2024-11-30T07:45:26Z,@diaraarnelita1917,UC1u5wNP1VQCMRDOgkoSV-oA,0,kak videonya jangan terlalu jauh kak,VkmQ5BgkeD0,Netral
38,2024-11-29T12:25:33Z,@nurhayatiety7178,UC9GCkb2wDExEnvZ6MgSMD6g,0,Tasyi kl diet cakep kali yaaa,VkmQ5BgkeD0,Netral
39,2024-11-29T12:07:02Z,@AdiWidyastutiNyoman,UC7HjzYYoT27cjUUO_-5RMQQ,0,"Suka bangetttt battlenya ka Tasyi, lanjutkan terus kak🥹🫶🏻",VkmQ5BgkeD0,Netral
40,2024-11-29T11:42:40Z,@hitifisi6411,UC912rYYtIcWr89qbOrqh_4A,0,Nonton ini sambil makan coklat don bakeshop 😅,VkmQ5BgkeD0,Netral
41,2024-11-29T10:56:31Z,@almarathussholikhah703,UCdIpPjk3weClgDtvNf6W9Gw,0,Kadnag donbake shop ada yg ketebelan ada yg tipis kek ga sinkron. Pdhal kebanyakan riview emang paling enak donbake shop,VkmQ5BgkeD0,Netral
42,2024-11-29T06:33:53Z,@widdyridla9513,UCAVpN_bKvR0qjKSiCG1deKA,0,"Sblm nnton sampe beres , pas liat yg no 8 udh feeling don sihh itu hee . Eehhh beneran don bakeshop yaaa . Blm pernah beli dan cobaa tapi dliat sekilas udh ketebak heee",VkmQ5BgkeD0,Netral
43,2024-11-29T05:04:11Z,@restiindah99,UCBzTmCSlMvYroKDxWbvD9JA,0,Beccas nggak ada ya...,VkmQ5BgkeD0,Netral
44,2024-11-28T16:16:22Z,@LidyaSidauruk,UCvVIG5yM-3EtLPWQ46gpT6g,0,Setelah ini Dubai Chocolate by Chi Keik pasti laku keras. 😄,VkmQ5BgkeD0,Netral
45,2024-11-28T13:22:04Z,@songjihyo3221,UCgYoRhI7wjl8LdlOKp_0QIg,0,"Aku suka banget konten ka tasyi bettle begini, semangat ngonten ka tasyi",VkmQ5BgkeD0,Netral
46,2024-11-28T13:02:15Z,@nindaerlia7395,UCXEhvvp158p8-oL6uEFiH7w,0,Salfok ga si cakep banget ka tasyi,VkmQ5BgkeD0,Netral
47,2024-11-28T12:38:01Z,@sscaan,UCsFOq6v4wYqJiNZrjahHrhw,0,Tahini ituu apa yaa??,VkmQ5BgkeD0,Netral
48,2024-11-28T10:34:28Z,@shenaregina3399,UCBVyC_GHfRDgmrc1RdP4MAA,0,subtitle nya ga match kak di akhir akhir😭,VkmQ5BgkeD0,Netral
49,2024-11-28T10:33:32Z,@PostPlus-m9y,UC4Wi7Q4J5kcnCnSre_7c1WA,0,Tahina bukan tahini😅,VkmQ5BgkeD0,Netral
50,2024-11-28T05:39:22Z,@revinaapril3780,UCH42e4D3gugkvLkNRLSNk8Q,0,ka cobain deh coklat dubai nya TERVE chocolate factory di bandung hehe enak banget menurutku ga terlalu manis,VkmQ5BgkeD0,Netral
51,2024-11-28T04:24:32Z,@muhammadrasya2314,UCfqNPBjxv8i5XPNQVPLurhw,76,"Urutan merk

1. Studio Chocolate (almost perfect, cuman kecil aja cetakannya. 109.000)
2. Les cantiqa (210.000)
3. Pipiltin (268.000)
4. Fix Chocolate (575.000)
5. Delicia Krasiva (paling aromatic. 225.000)
6. Heavenly Taste (125.000)
7. By chi keik (Ada sedikit butiran garam yg tdk rata 130.000)
8. Don Bake Shop (almost perfect tp bawahnya ketebelan, 280.000).
9. Kiting Cake (195.000)
10. UMKM - Sensor -",VkmQ5BgkeD0,Positif
52,2024-11-28T02:09:39Z,@ikaaaaaaaaaa6371,UChJiICDvyzNpouUb3pTedYg,0,Tapi pada bilang Don bake shop rating review nilainya rata2 aja 😂 enak banget juga ga tapi dibilang ga enak juga gak 😂,VkmQ5BgkeD0,Netral
53,2024-11-28T01:14:04Z,@salsabilalfenia,UCHe7picKInx2Aygf_nTSIug,0,kak kalo mau battle jangan banyak ngomong dong lama banget nunggu mau batlle nya,VkmQ5BgkeD0,Netral
54,2024-11-27T14:49:52Z,@dersast,UC2XYa501WmV_c5Dxtby_ChQ,0,battle es teh kak 😂,VkmQ5BgkeD0,Netral
55,2024-11-27T14:27:18Z,@kanyar.s,UC5s1_G7pN1IL7caqHQSErOg,0,Aku pakai yg acne emang sebagus itu,VkmQ5BgkeD0,Netral
56,2024-11-27T13:56:19Z,@rindi.antika,UC62TNNmYgVOlLQl9BTQ7b-w,0,kak cobain dubai kunafa nya Sina Cake enak banget,VkmQ5BgkeD0,Netral
